crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bogorodica-evzoni,2026-06-20T05:06,45,45 min,anonymous,2026-06-20T03:11:02+00:00
bogorodica-evzoni,2026-06-20T06:18,90,1.5 h,anonymous,2026-06-20T04:26:30+00:00
bogorodica-evzoni,2026-06-20T07:17,90,1.5 h,anonymous,2026-06-20T05:22:53+00:00
bogorodica-evzoni,2026-06-20T08:02,20,20 min,anonymous,2026-06-20T06:08:11+00:00
bogorodica-evzoni,2026-06-20T08:10,150,2.5 h,anonymous,2026-06-20T06:23:31+00:00
bogorodica-evzoni,2026-06-20T09:27,120,2 h,anonymous_,2026-06-20T07:38:56+00:00
bogorodica-evzoni,2026-06-20T10:17,180,3 h,anonymous,2026-06-20T08:30:50+00:00
bogorodica-evzoni,2026-06-20T10:38,180,3 h,anonymous,2026-06-20T08:45:57+00:00
bogorodica-evzoni,2026-06-20T11:57,150,2.5 h,anonymous_,2026-06-20T10:01:28+00:00
bogorodica-evzoni,2026-06-20T12:30,35,35 min,anonymous,2026-06-20T10:31:41+00:00
bogorodica-evzoni,2026-06-20T12:22,240,4 h,anonymous,2026-06-20T10:31:41+00:00
bogorodica-evzoni,2026-06-20T12:39,90,1.5 h,anonymous,2026-06-20T10:43:41+00:00
bogorodica-evzoni,2026-06-20T12:49,210,3.5 h,anonymous,2026-06-20T10:58:48+00:00
bogorodica-evzoni,2026-06-20T13:12,240,4 h,anonymous,2026-06-20T11:14:01+00:00
bogorodica-evzoni,2026-06-20T13:10,120,2 h,anonymous,2026-06-20T11:14:01+00:00
bogorodica-evzoni,2026-06-20T13:09,240,4 h,anonymous,2026-06-20T11:14:01+00:00
bogorodica-evzoni,2026-06-20T13:40,180,3 h,anonymous,2026-06-20T11:44:14+00:00
bogorodica-evzoni,2026-06-20T13:44,240,4 h,anonymous,2026-06-20T11:59:21+00:00
bogorodica-evzoni,2026-06-20T14:58,210,3.5 h,anonymous_,2026-06-20T13:06:52+00:00
bogorodica-evzoni,2026-06-20T15:17,5,5 min,anonymous,2026-06-20T13:21:57+00:00
