crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
batrovci-bajakovo,2026-03-20T17:28,59,59 min,user19,2026-03-20T16:28:04+00:00
batrovci-bajakovo,2026-03-20T17:49,59,59 min,user19,2026-03-20T16:49:04+00:00
batrovci-bajakovo,2026-03-20T18:08,59,59 min,user19,2026-03-20T17:08:04+00:00
batrovci-bajakovo,2026-03-20T18:38,59,59 min,user19,2026-03-20T17:38:05+00:00
batrovci-bajakovo,2026-03-20T19:28,59,59 min,user19,2026-03-20T18:28:04+00:00
batrovci-bajakovo,2026-03-20T19:49,59,59 min,user19,2026-03-20T18:49:04+00:00
batrovci-bajakovo,2026-03-20T20:08,59,59 min,user19,2026-03-20T19:08:04+00:00
batrovci-bajakovo,2026-03-20T20:38,59,59 min,user19,2026-03-20T19:38:04+00:00
batrovci-bajakovo,2026-03-20T21:28,59,59 min,user19,2026-03-20T20:28:04+00:00
batrovci-bajakovo,2026-03-20T21:49,59,59 min,user19,2026-03-20T20:49:04+00:00
batrovci-bajakovo,2026-03-20T22:08,59,59 min,user19,2026-03-20T21:08:04+00:00
batrovci-bajakovo,2026-03-20T22:38,59,59 min,user19,2026-03-20T21:38:04+00:00
batrovci-bajakovo,2026-03-20T23:28,59,59 min,user19,2026-03-20T22:28:05+00:00
batrovci-bajakovo,2026-03-20T23:49,59,59 min,user19,2026-03-20T22:49:04+00:00
batrovci-bajakovo,2026-03-21T00:08,59,59 min,user19,2026-03-20T23:08:05+00:00
batrovci-bajakovo,2026-03-21T00:38,59,59 min,user19,2026-03-20T23:38:04+00:00
batrovci-bajakovo,2026-03-21T01:28,59,59 min,user19,2026-03-21T00:28:03+00:00
batrovci-bajakovo,2026-03-21T01:49,59,59 min,user19,2026-03-21T00:49:03+00:00
batrovci-bajakovo,2026-03-21T02:08,59,59 min,user19,2026-03-21T01:08:04+00:00
batrovci-bajakovo,2026-03-21T02:28,59,59 min,user19,2026-03-21T01:28:04+00:00
batrovci-bajakovo,2026-03-21T02:38,59,59 min,user19,2026-03-21T01:38:03+00:00
batrovci-bajakovo,2026-03-21T02:49,59,59 min,user19,2026-03-21T01:49:03+00:00
batrovci-bajakovo,2026-03-21T03:55,58,58 min,user147,2026-03-21T03:00:08+00:00
batrovci-bajakovo,2026-03-21T04:38,59,59 min,user19,2026-03-21T03:38:04+00:00
batrovci-bajakovo,2026-03-21T05:28,59,59 min,user19,2026-03-21T04:28:03+00:00
batrovci-bajakovo,2026-03-21T05:49,59,59 min,user19,2026-03-21T04:49:03+00:00
batrovci-bajakovo,2026-03-21T06:08,59,59 min,user19,2026-03-21T05:08:03+00:00
batrovci-bajakovo,2026-03-21T06:38,59,59 min,user19,2026-03-21T05:38:03+00:00
batrovci-bajakovo,2026-03-21T07:28,59,59 min,user19,2026-03-21T06:28:03+00:00
batrovci-bajakovo,2026-03-21T07:49,59,59 min,user19,2026-03-21T06:49:03+00:00
batrovci-bajakovo,2026-03-21T08:08,59,59 min,user19,2026-03-21T07:08:04+00:00
batrovci-bajakovo,2026-03-21T08:38,59,59 min,user19,2026-03-21T07:38:03+00:00
batrovci-bajakovo,2026-03-21T09:28,59,59 min,user19,2026-03-21T08:28:03+00:00
batrovci-bajakovo,2026-03-21T09:49,59,59 min,user19,2026-03-21T08:49:04+00:00
batrovci-bajakovo,2026-03-21T10:08,59,59 min,user19,2026-03-21T09:08:04+00:00
batrovci-bajakovo,2026-03-21T10:38,59,59 min,user19,2026-03-21T09:38:04+00:00
batrovci-bajakovo,2026-03-21T11:28,59,59 min,user19,2026-03-21T10:28:04+00:00
batrovci-bajakovo,2026-03-21T11:49,63,63 min,user19,2026-03-21T10:49:04+00:00
batrovci-bajakovo,2026-03-21T12:08,63,63 min,user19,2026-03-21T11:08:04+00:00
batrovci-bajakovo,2026-03-21T12:38,63,63 min,user19,2026-03-21T11:38:04+00:00
batrovci-bajakovo,2026-03-21T13:28,63,63 min,user19,2026-03-21T12:28:04+00:00
batrovci-bajakovo,2026-03-21T13:49,63,63 min,user19,2026-03-21T12:49:04+00:00
batrovci-bajakovo,2026-03-21T14:08,63,63 min,user19,2026-03-21T13:08:04+00:00
batrovci-bajakovo,2026-03-21T14:38,63,63 min,user19,2026-03-21T13:38:04+00:00
batrovci-bajakovo,2026-03-21T15:28,63,63 min,user19,2026-03-21T14:28:04+00:00
batrovci-bajakovo,2026-03-21T15:49,63,63 min,user19,2026-03-21T14:49:04+00:00
batrovci-bajakovo,2026-03-21T16:38,59,59 min,user19,2026-03-21T15:38:04+00:00
batrovci-bajakovo,2026-03-21T17:28,63,63 min,user19,2026-03-21T16:28:04+00:00
batrovci-bajakovo,2026-03-21T17:49,63,63 min,user19,2026-03-21T16:49:04+00:00
