crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bajakovo-batrovci,2026-06-18T15:45,300,5 h,anonymous,2026-06-18T13:49:16+00:00
bajakovo-batrovci,2026-06-18T16:54,270,4.5 h,anonymous_,2026-06-18T15:04:50+00:00
bajakovo-batrovci,2026-06-18T17:55,240,4 h,anonymous_,2026-06-18T16:05:12+00:00
bajakovo-batrovci,2026-06-18T18:57,210,3.5 h,anonymous_,2026-06-18T17:05:32+00:00
bajakovo-batrovci,2026-06-18T19:49,60,60 min,hak_croatia,2026-06-18T17:53:10+00:00
bajakovo-batrovci,2026-06-18T20:08,60,60 min,hak_croatia,2026-06-18T18:08:17+00:00
bajakovo-batrovci,2026-06-18T20:38,60,60 min,hak_croatia,2026-06-18T18:38:39+00:00
bajakovo-batrovci,2026-06-18T21:28,60,60 min,hak_croatia,2026-06-18T19:39:04+00:00
bajakovo-batrovci,2026-06-18T21:49,60,60 min,hak_croatia,2026-06-18T19:54:11+00:00
bajakovo-batrovci,2026-06-18T22:08,60,60 min,hak_croatia,2026-06-18T20:16:47+00:00
bajakovo-batrovci,2026-06-18T22:38,60,60 min,hak_croatia,2026-06-18T20:47:01+00:00
bajakovo-batrovci,2026-06-18T23:58,55,55 min,anonymous_,2026-06-18T22:02:29+00:00
bajakovo-batrovci,2026-06-19T00:54,50,50 min,anonymous_,2026-06-18T23:09:03+00:00
bajakovo-batrovci,2026-06-19T01:28,10,10 min,hak_croatia,2026-06-18T23:39:16+00:00
bajakovo-batrovci,2026-06-19T01:49,10,10 min,hak_croatia,2026-06-18T23:54:22+00:00
bajakovo-batrovci,2026-06-19T02:08,10,10 min,hak_croatia,2026-06-19T00:09:29+00:00
bajakovo-batrovci,2026-06-19T02:28,10,10 min,hak_croatia,2026-06-19T00:28:41+00:00
bajakovo-batrovci,2026-06-19T02:38,10,10 min,hak_croatia,2026-06-19T00:43:50+00:00
bajakovo-batrovci,2026-06-19T02:49,10,10 min,hak_croatia,2026-06-19T00:58:55+00:00
bajakovo-batrovci,2026-06-19T04:08,10,10 min,hak_croatia,2026-06-19T02:14:20+00:00
bajakovo-batrovci,2026-06-19T03:57,5,5 min,anonymous_,2026-06-19T02:14:20+00:00
bajakovo-batrovci,2026-06-19T05:25,5,5 min,anonymous_,2026-06-19T03:44:50+00:00
bajakovo-batrovci,2026-06-19T05:49,10,10 min,hak_croatia,2026-06-19T03:59:55+00:00
bajakovo-batrovci,2026-06-19T06:08,10,10 min,hak_croatia,2026-06-19T04:15:01+00:00
bajakovo-batrovci,2026-06-19T06:38,10,10 min,hak_croatia,2026-06-19T04:45:19+00:00
bajakovo-batrovci,2026-06-19T07:28,10,10 min,hak_croatia,2026-06-19T05:29:54+00:00
bajakovo-batrovci,2026-06-19T07:49,10,10 min,hak_croatia,2026-06-19T06:00:07+00:00
bajakovo-batrovci,2026-06-19T08:08,10,10 min,hak_croatia,2026-06-19T06:15:22+00:00
bajakovo-batrovci,2026-06-19T08:38,10,10 min,hak_croatia,2026-06-19T06:45:34+00:00
bajakovo-batrovci,2026-06-19T09:28,60,60 min,hak_croatia,2026-06-19T07:30:54+00:00
bajakovo-batrovci,2026-06-19T09:49,60,60 min,hak_croatia,2026-06-19T08:01:08+00:00
bajakovo-batrovci,2026-06-19T10:08,60,60 min,hak_croatia,2026-06-19T08:16:15+00:00
bajakovo-batrovci,2026-06-19T10:38,60,60 min,hak_croatia,2026-06-19T08:46:28+00:00
bajakovo-batrovci,2026-06-19T11:28,60,60 min,hak_croatia,2026-06-19T09:31:48+00:00
bajakovo-batrovci,2026-06-19T11:49,60,60 min,hak_croatia,2026-06-19T10:02:01+00:00
bajakovo-batrovci,2026-06-19T12:06,40,40 min,anonymous,2026-06-19T10:19:48+00:00
bajakovo-batrovci,2026-06-19T13:26,35,35 min,anonymous_,2026-06-19T11:35:15+00:00
bajakovo-batrovci,2026-06-19T13:49,60,60 min,hak_croatia,2026-06-19T11:50:21+00:00
bajakovo-batrovci,2026-06-19T14:08,60,60 min,hak_croatia,2026-06-19T12:20:31+00:00
bajakovo-batrovci,2026-06-19T14:38,60,60 min,hak_croatia,2026-06-19T12:50:42+00:00
bajakovo-batrovci,2026-06-19T15:59,55,55 min,anonymous_,2026-06-19T14:03:22+00:00
bajakovo-batrovci,2026-06-19T16:38,60,60 min,hak_croatia,2026-06-19T14:48:38+00:00
bajakovo-batrovci,2026-06-19T17:56,55,55 min,anonymous_,2026-06-19T16:04:29+00:00
bajakovo-batrovci,2026-06-19T18:58,50,50 min,anonymous_,2026-06-19T17:10:55+00:00
bajakovo-batrovci,2026-06-19T19:28,90,1.5 h,hak_croatia,2026-06-19T17:41:06+00:00
bajakovo-batrovci,2026-06-19T19:49,90,1.5 h,hak_croatia,2026-06-19T17:56:12+00:00
bajakovo-batrovci,2026-06-19T20:08,90,1.5 h,hak_croatia,2026-06-19T18:11:19+00:00
bajakovo-batrovci,2026-06-19T20:38,90,1.5 h,hak_croatia,2026-06-19T18:50:39+00:00
